country,indicator,date,value,unit
china,balance-of-trade,1994-02-01,-0.23,USD Billion
china,balance-of-trade,1994-03-01,-0.03,USD Billion
china,balance-of-trade,1994-04-01,-0.47,USD Billion
china,balance-of-trade,1994-05-01,0.01,USD Billion
china,balance-of-trade,1994-06-01,1.04,USD Billion
china,balance-of-trade,1994-07-01,0.73,USD Billion
china,balance-of-trade,1994-08-01,0.18,USD Billion
china,balance-of-trade,1994-09-01,1.24,USD Billion
china,balance-of-trade,1994-10-01,1.02,USD Billion
china,balance-of-trade,1994-11-01,2.2,USD Billion
china,balance-of-trade,1994-12-01,0.59,USD Billion
china,balance-of-trade,1995-01-01,1.7,USD Billion
china,balance-of-trade,1995-02-01,2.76,USD Billion
china,balance-of-trade,1995-03-01,2.64,USD Billion
china,balance-of-trade,1995-04-01,1.71,USD Billion
china,balance-of-trade,1995-05-01,1.32,USD Billion
china,balance-of-trade,1995-06-01,3.08,USD Billion
china,balance-of-trade,1995-07-01,1.14,USD Billion
china,balance-of-trade,1995-08-01,0.95,USD Billion
china,balance-of-trade,1995-09-01,1.13,USD Billion
china,balance-of-trade,1995-10-01,1.37,USD Billion
china,balance-of-trade,1995-11-01,0.13,USD Billion
china,balance-of-trade,1995-12-01,-1.22,USD Billion
china,balance-of-trade,1996-01-01,-0.94,USD Billion
china,balance-of-trade,1996-02-01,0.56,USD Billion
china,balance-of-trade,1996-03-01,-0.71,USD Billion
china,balance-of-trade,1996-04-01,0.49,USD Billion
china,balance-of-trade,1996-05-01,0.16,USD Billion
china,balance-of-trade,1996-06-01,1.34,USD Billion
china,balance-of-trade,1996-07-01,1.08,USD Billion
china,balance-of-trade,1996-08-01,2.98,USD Billion
china,balance-of-trade,1996-09-01,3.1,USD Billion
china,balance-of-trade,1996-10-01,3.89,USD Billion
china,balance-of-trade,1996-11-01,1.98,USD Billion
china,balance-of-trade,1996-12-01,-1.7,USD Billion
china,balance-of-trade,1997-01-01,1.66,USD Billion
china,balance-of-trade,1997-02-01,2.1,USD Billion
china,balance-of-trade,1997-03-01,2.97,USD Billion
china,balance-of-trade,1997-04-01,3.56,USD Billion
china,balance-of-trade,1997-05-01,3.42,USD Billion
china,balance-of-trade,1997-06-01,4.11,USD Billion
china,balance-of-trade,1997-07-01,2.81,USD Billion
china,balance-of-trade,1997-08-01,4.96,USD Billion
china,balance-of-trade,1997-09-01,5.12,USD Billion
china,balance-of-trade,1997-10-01,4.98,USD Billion
china,balance-of-trade,1997-11-01,4.66,USD Billion
china,balance-of-trade,1997-12-01,0.1,USD Billion
china,balance-of-trade,1998-01-01,4.08,USD Billion
china,balance-of-trade,1998-02-01,3.15,USD Billion
china,balance-of-trade,1998-03-01,3.65,USD Billion
china,balance-of-trade,1998-04-01,4.31,USD Billion
china,balance-of-trade,1998-05-01,3.66,USD Billion
china,balance-of-trade,1998-06-01,3.72,USD Billion
china,balance-of-trade,1998-07-01,4.21,USD Billion
china,balance-of-trade,1998-08-01,4.72,USD Billion
china,balance-of-trade,1998-09-01,3.93,USD Billion
china,balance-of-trade,1998-10-01,3.06,USD Billion
china,balance-of-trade,1998-11-01,2.76,USD Billion
china,balance-of-trade,1998-12-01,2.22,USD Billion
china,balance-of-trade,1999-01-01,1.48,USD Billion
china,balance-of-trade,1999-02-01,2.27,USD Billion
china,balance-of-trade,1999-03-01,0.45,USD Billion
china,balance-of-trade,1999-04-01,0.96,USD Billion
china,balance-of-trade,1999-05-01,1.87,USD Billion
china,balance-of-trade,1999-06-01,0.79,USD Billion
china,balance-of-trade,1999-07-01,3.4,USD Billion
china,balance-of-trade,1999-08-01,4.87,USD Billion
china,balance-of-trade,1999-09-01,3.31,USD Billion
china,balance-of-trade,1999-10-01,4.44,USD Billion
china,balance-of-trade,1999-11-01,2.56,USD Billion
china,balance-of-trade,1999-12-01,2.83,USD Billion
china,balance-of-trade,2000-01-01,1.52,USD Billion
china,balance-of-trade,2000-02-01,1.35,USD Billion
china,balance-of-trade,2000-03-01,2.33,USD Billion
china,balance-of-trade,2000-04-01,2.16,USD Billion
china,balance-of-trade,2000-05-01,3.15,USD Billion
china,balance-of-trade,2000-06-01,1.91,USD Billion
china,balance-of-trade,2000-07-01,1.99,USD Billion
china,balance-of-trade,2000-08-01,2.54,USD Billion
china,balance-of-trade,2000-09-01,2.27,USD Billion
china,balance-of-trade,2000-10-01,3.83,USD Billion
china,balance-of-trade,2000-11-01,0.51,USD Billion
china,balance-of-trade,2000-12-01,0.57,USD Billion
china,balance-of-trade,2001-01-01,1.26,USD Billion
china,balance-of-trade,2001-02-01,0.74,USD Billion
china,balance-of-trade,2001-03-01,2.28,USD Billion
china,balance-of-trade,2001-04-01,0.93,USD Billion
china,balance-of-trade,2001-05-01,2.01,USD Billion
china,balance-of-trade,2001-06-01,0.8,USD Billion
china,balance-of-trade,2001-07-01,1.87,USD Billion
china,balance-of-trade,2001-08-01,1.36,USD Billion
china,balance-of-trade,2001-09-01,2.14,USD Billion
china,balance-of-trade,2001-10-01,3.88,USD Billion
china,balance-of-trade,2001-11-01,3.16,USD Billion
china,balance-of-trade,2001-12-01,2.12,USD Billion
china,balance-of-trade,2002-01-01,2.72,USD Billion
china,balance-of-trade,2002-02-01,3.22,USD Billion
china,balance-of-trade,2002-03-01,1.4,USD Billion
china,balance-of-trade,2002-04-01,0.98,USD Billion
china,balance-of-trade,2002-05-01,2.2,USD Billion
china,balance-of-trade,2002-06-01,2.91,USD Billion
china,balance-of-trade,2002-07-01,2.21,USD Billion
china,balance-of-trade,2002-08-01,2.21,USD Billion
china,balance-of-trade,2002-09-01,2.16,USD Billion
china,balance-of-trade,2002-10-01,4.75,USD Billion
china,balance-of-trade,2002-11-01,2.5,USD Billion
china,balance-of-trade,2002-12-01,3.16,USD Billion
china,balance-of-trade,2003-01-01,-1.26,USD Billion
china,balance-of-trade,2003-02-01,0.7,USD Billion
china,balance-of-trade,2003-03-01,-0.41,USD Billion
china,balance-of-trade,2003-04-01,1.02,USD Billion
china,balance-of-trade,2003-05-01,2.21,USD Billion
china,balance-of-trade,2003-06-01,2.13,USD Billion
