mae,rmse,mape,r2,company,split,model
0.2677847665445988,0.305863883742622,0.0150332578611895,-4.1222467903044775,Alphabet Inc.,0,XGBoost
0.1885387243022186,0.207408163539778,0.0105880129426817,-1.0980367880873834,Alphabet Inc.,0,XGBoost
0.1998360678130041,0.2133706608985462,0.0113611403713872,-1.841178166018611,Alphabet Inc.,0,XGBoost
0.1510021897367743,0.1777598455403393,0.008607936278911,-3.18856875484159,Alphabet Inc.,0,XGBoost
0.100304420148938,0.1202759875688214,0.0057067453006641,0.6023116014499889,Alphabet Inc.,0,XGBoost
0.1663540689387183,0.2175456103241345,0.0094555622261798,0.1671460549890873,Alphabet Inc.,0,XGBoost
0.3242960056896656,0.4517669605061132,0.0178183127364246,-0.8357683907042213,Alphabet Inc.,0,XGBoost
0.4623430326408907,0.5341412912043739,0.0253830395231167,-2.9900833375682043,Alphabet Inc.,0,XGBoost
0.975907815836782,1.050976361051432,0.0534763344476958,-47.30962698954314,Alphabet Inc.,0,XGBoost
0.2572218500562925,0.2930608424813244,0.0140281209252146,-3.897619605147349,Alphabet Inc.,0,XGBoost
0.6046256617772905,0.6117190414224436,0.0329348540813143,-69.65713475052937,Alphabet Inc.,0,XGBoost
0.0325246782133994,0.0462797069211498,0.0017742638811728,0.6509434040567842,Alphabet Inc.,0,XGBoost
0.1523298130796384,0.2416482196757995,0.008405543056564,-1.1249585907017532,Alphabet Inc.,0,XGBoost
0.2658898835685853,0.2713027000684466,0.0145801850089905,-0.9431139140557,Alphabet Inc.,0,XGBoost
0.431959280500557,0.5459645324137381,0.024048756692823,-3.601093953040131,Alphabet Inc.,0,XGBoost
0.530656739368078,0.5924143599845588,0.029673526990278,-4.792862371515804,Alphabet Inc.,0,XGBoost
0.9881010645568004,1.0089409219033094,0.055533748577796,-27.88654324322079,Alphabet Inc.,0,XGBoost
0.2838437571268891,0.3379965064428317,0.0161178277428366,-1.9113567371957276,Alphabet Inc.,0,XGBoost
0.3602659214331851,0.3935266401461896,0.0203116143227868,-0.2877795411850496,Alphabet Inc.,0,XGBoost
0.5157025514382937,0.6643239938886661,0.0280471958049661,-0.6343968271568039,Alphabet Inc.,0,XGBoost
0.8214655547494132,1.0128769882193398,0.0441160080908909,-2.144061345445604,Alphabet Inc.,0,XGBoost
0.9827489509487884,1.0891815865464178,0.0526299746523662,-4.12350364713305,Alphabet Inc.,0,XGBoost
1.4080945602206214,1.4161735451471984,0.07526329391662,-144.16122683662186,Alphabet Inc.,0,XGBoost
0.2948403705824738,0.2995992896034114,0.0157168583224622,-96.56492862050617,Alphabet Inc.,0,XGBoost
0.1467428595405046,0.1621666822411779,0.0078195725092541,-16.578898949940275,Alphabet Inc.,0,XGBoost
0.2320900250956007,0.2553271205065548,0.0122475732408697,-0.2951354590386348,Alphabet Inc.,0,XGBoost
0.2167318963012895,0.3004729355776106,0.0113431529958246,-1.1245290148396774,Alphabet Inc.,0,XGBoost
0.1806786081112676,0.222732395547396,0.009452425984438,-0.2676236719716296,Alphabet Inc.,0,XGBoost
0.2962726517379018,0.332714544691206,0.0154886428530133,-2.3488313240887058,Alphabet Inc.,0,XGBoost
0.2344833290493277,0.2628293584629397,0.0122117191129046,-1.9878577711954943,Alphabet Inc.,0,XGBoost
0.4934463967571737,0.552510386128306,0.0258446524826742,-5.273999646079617,Alphabet Inc.,0,XGBoost
0.2551314281721303,0.2694766364462949,0.0132299826785179,-1.13430688897276,Alphabet Inc.,0,XGBoost
0.7114236577392695,0.7444291685273573,0.0366119569823302,-27.39010179069348,Alphabet Inc.,0,XGBoost
0.2631127150439596,0.315103066676816,0.0134968219339458,-10.00287484808685,Alphabet Inc.,0,XGBoost
0.2740787650546494,0.2788567713029584,0.014034007664605,-19.16626008856601,Alphabet Inc.,0,XGBoost
0.0990127810576709,0.1157337776543243,0.0050576432542673,-0.0698328506502061,Alphabet Inc.,0,XGBoost
0.2372691461381414,0.2952631636160111,0.0119661237621492,-0.5857889949893627,Alphabet Inc.,0,XGBoost
0.3417223001589328,0.3622648195908365,0.0172523217212512,-2.2535650414810804,Alphabet Inc.,0,XGBoost
0.2608422427606641,0.3066178159683144,0.0131097224899666,-2.657581896560015,Alphabet Inc.,0,XGBoost
0.1550893234099866,0.1987268778353503,0.0077659203632876,-1.1910991996330251,Alphabet Inc.,0,XGBoost
0.1501505931760668,0.1752822835959138,0.0075500819388838,-0.4839586042599451,Alphabet Inc.,0,XGBoost
0.4423043917935068,0.4485951485509641,0.0223889536612823,-25.478632539928697,Alphabet Inc.,0,XGBoost
0.1415102953918548,0.1701451716036268,0.0071233261212679,-1.7249039363730314,Alphabet Inc.,0,XGBoost
0.0727072807089243,0.0844514302393364,0.0036581877869968,0.5069106699758428,Alphabet Inc.,0,XGBoost
0.1603214685522836,0.1725960373941522,0.0080948291735051,-0.2445434543851767,Alphabet Inc.,0,XGBoost
0.0818616273927908,0.1260415349117885,0.0040430431668241,0.7566411071856678,Alphabet Inc.,0,XGBoost
0.4417912787648355,0.5709942598822637,0.0214961049450339,-1.415499383731138,Alphabet Inc.,0,XGBoost
0.4151252844946761,0.5241485339430139,0.0200752145482448,-1.1673373748391462,Alphabet Inc.,0,XGBoost
0.4734701669604902,0.5158449294740538,0.0228866225793837,-2.302094600219528,Alphabet Inc.,0,XGBoost
0.6447847234032593,0.6513917690661901,0.0311194197858066,-21.219901382864588,Alphabet Inc.,0,XGBoost
0.2902746027770632,0.303485560209762,0.0139710812512011,-19.127509889823664,Alphabet Inc.,0,XGBoost
