company,base_date,base_close,target_date,horizon,actual_close,predicted_close,actual_ret,predicted_ret,actual_dir,predicted_dir,hit
Alphabet Inc.,2022-04-12,128.37,2022-04-13,1,130.29,130.58091290162693,0.014956765599439023,0.017222971890838407,up,up,1.0
Alphabet Inc.,2022-04-12,128.37,2022-04-14,2,127.25,130.76416742042176,-0.00872477993300619,0.018650521308886437,down,up,0.0
Alphabet Inc.,2022-04-12,128.37,2022-04-18,3,127.96,131.3024508284218,-0.0031938926540469796,0.022843739412805115,down,up,0.0
Alphabet Inc.,2022-04-12,128.37,2022-04-19,4,130.53,131.98583985144603,0.016826361299368986,0.02816732765791093,up,up,1.0
Alphabet Inc.,2022-04-12,128.37,2022-04-20,5,128.25,132.00325907863765,-0.0009347978499649805,0.028303023125634104,flat,up,0.0
Alphabet Inc.,2022-04-13,130.29,2022-04-14,1,127.25,129.7855309942096,-0.023332565814720947,-0.0038718935128588807,down,down,1.0
Alphabet Inc.,2022-04-13,130.29,2022-04-18,2,127.96,130.21172883733564,-0.017883183667203918,-0.0006007457415331217,down,flat,0.0
Alphabet Inc.,2022-04-13,130.29,2022-04-19,3,130.53,130.95609264986618,0.0018420446695833073,0.005112385063060761,flat,up,0.0
Alphabet Inc.,2022-04-13,130.29,2022-04-20,4,128.25,130.95641228158743,-0.015657379691457456,0.005114838296012286,down,up,0.0
Alphabet Inc.,2022-04-13,130.29,2022-04-21,5,124.94,130.95064400982739,-0.041062245759459624,0.005070565736644359,down,up,0.0
Alphabet Inc.,2022-04-14,127.25,2022-04-18,1,127.96,129.43470492852154,0.005579567779960658,0.017168604546338236,up,up,1.0
Alphabet Inc.,2022-04-14,127.25,2022-04-19,2,130.53,130.05700071045953,0.025776031434184686,0.022058944679446236,up,up,1.0
Alphabet Inc.,2022-04-14,127.25,2022-04-20,3,128.25,130.06667948327578,0.007858546168958742,0.02213500576248155,up,up,1.0
Alphabet Inc.,2022-04-14,127.25,2022-04-21,4,124.94,130.03644113361185,-0.018153241650294714,0.021897376295574422,down,up,0.0
Alphabet Inc.,2022-04-14,127.25,2022-04-22,5,119.61,130.3553471204649,-0.060039292730844795,0.024403513716816493,down,up,0.0
Alphabet Inc.,2022-04-18,127.96,2022-04-19,1,130.53,128.1952118442501,0.02008440137542988,0.001838166960379154,up,flat,0.0
Alphabet Inc.,2022-04-18,127.96,2022-04-20,2,128.25,128.221918394404,0.002266333229134153,0.0020468771053768382,up,up,1.0
Alphabet Inc.,2022-04-18,127.96,2022-04-21,3,124.94,128.40174928487522,-0.02360112535167237,0.0034522451146860654,down,up,0.0
Alphabet Inc.,2022-04-18,127.96,2022-04-22,4,119.61,128.83737885802705,-0.0652547671147233,0.006856665036160188,down,up,0.0
Alphabet Inc.,2022-04-18,127.96,2022-04-25,5,123.25,128.86242911142892,-0.03680837761800558,0.007052431317825335,down,up,0.0
Alphabet Inc.,2022-04-19,130.53,2022-04-20,1,128.25,129.6732390246724,-0.017467248908296953,-0.006563709303053728,down,down,1.0
Alphabet Inc.,2022-04-19,130.53,2022-04-21,2,124.94,129.93805896520655,-0.04282540412165788,-0.004534904120075463,down,down,1.0
Alphabet Inc.,2022-04-19,130.53,2022-04-22,3,119.61,130.32811977671372,-0.08365892898184327,-0.001546619346405279,down,flat,0.0
Alphabet Inc.,2022-04-19,130.53,2022-04-25,4,123.25,130.29375945755393,-0.055772619321228845,-0.001809856296989726,down,flat,0.0
Alphabet Inc.,2022-04-19,130.53,2022-04-26,5,119.51,130.40776818146185,-0.08442503639010186,-0.0009364270170700521,down,flat,0.0
Alphabet Inc.,2022-04-20,128.25,2022-04-21,1,124.94,130.11937238815426,-0.02580896686159846,0.014576003026543945,down,up,0.0
Alphabet Inc.,2022-04-20,128.25,2022-04-22,2,119.61,130.36973465858065,-0.06736842105263158,0.016528145486009,down,up,0.0
Alphabet Inc.,2022-04-20,128.25,2022-04-25,3,123.25,130.33439093293768,-0.03898635477582846,0.016252560880605692,down,up,0.0
Alphabet Inc.,2022-04-20,128.25,2022-04-26,4,119.51,130.31639973628634,-0.06814814814814811,0.016112278645507544,down,up,0.0
Alphabet Inc.,2022-04-20,128.25,2022-04-27,5,115.02,130.50313142940928,-0.10315789473684214,0.017568276252703935,down,up,0.0
Alphabet Inc.,2022-04-21,124.94,2022-04-22,1,119.61,127.26757090080764,-0.042660477028973895,0.018629509370959207,down,up,0.0
Alphabet Inc.,2022-04-21,124.94,2022-04-25,2,123.25,127.0400596634945,-0.013526492716503904,0.016808545409752726,down,up,0.0
Alphabet Inc.,2022-04-21,124.94,2022-04-26,3,119.51,127.25744097601773,-0.043460861213382364,0.018548431055048307,down,up,0.0
Alphabet Inc.,2022-04-21,124.94,2022-04-27,4,115.02,127.50597820778364,-0.07939811109332481,0.02053768375046938,down,up,0.0
Alphabet Inc.,2022-04-21,124.94,2022-04-28,5,119.41,127.86547830132281,-0.04426124539779095,0.0234150656420907,down,up,0.0
Alphabet Inc.,2022-04-22,119.61,2022-04-25,1,123.25,121.51199555154878,0.030432238107181677,0.015901643270201316,up,up,1.0
Alphabet Inc.,2022-04-22,119.61,2022-04-26,2,119.51,121.49252286133213,-0.0008360504974499985,0.01573884174677815,flat,up,0.0
Alphabet Inc.,2022-04-22,119.61,2022-04-27,3,115.02,122.21238905228333,-0.038374717832957136,0.021757286617200305,down,up,0.0
Alphabet Inc.,2022-04-22,119.61,2022-04-28,4,119.41,122.74675477272523,-0.0016721009949001158,0.02622485388115731,flat,up,0.0
Alphabet Inc.,2022-04-22,119.61,2022-04-29,5,114.97,122.95827973520831,-0.03879274308168214,0.027993309382228142,down,up,0.0
Alphabet Inc.,2022-04-25,123.25,2022-04-26,1,119.51,121.41747381096624,-0.030344827586206855,-0.014868366645304318,down,down,1.0
Alphabet Inc.,2022-04-25,123.25,2022-04-27,2,115.02,121.9774769061896,-0.06677484787018259,-0.01032473098426293,down,down,1.0
Alphabet Inc.,2022-04-25,123.25,2022-04-28,3,119.41,122.5062837731569,-0.031156186612576093,-0.006034208737063734,down,down,1.0
Alphabet Inc.,2022-04-25,123.25,2022-04-29,4,114.97,122.59723660919497,-0.06718052738336715,-0.005296254692130099,down,down,1.0
Alphabet Inc.,2022-04-25,123.25,2022-05-02,5,117.16,122.80601469802998,-0.04941176470588238,-0.003602314823286139,down,down,1.0
Alphabet Inc.,2022-04-26,119.51,2022-04-27,1,115.02,121.6615683735748,-0.03757007781775591,0.018003249716130782,down,up,0.0
Alphabet Inc.,2022-04-26,119.51,2022-04-28,2,119.41,122.12767313944138,-0.000836750062756326,0.021903381637029363,flat,up,0.0
Alphabet Inc.,2022-04-26,119.51,2022-04-29,3,114.97,122.2293199135741,-0.03798845284913401,0.022753911083374587,down,up,0.0
Alphabet Inc.,2022-04-26,119.51,2022-05-02,4,117.16,122.4144821958353,-0.019663626474772055,0.024303256596396115,down,up,0.0
Alphabet Inc.,2022-04-26,119.51,2022-05-03,5,118.13,122.8007529913789,-0.011547150866036394,0.02753537772051623,down,up,0.0
Alphabet Inc.,2022-04-27,115.02,2022-04-28,1,119.41,114.77275492774774,0.03816727525647714,-0.002149583309444055,up,down,0.0
Alphabet Inc.,2022-04-27,115.02,2022-04-29,2,114.97,114.52498767567349,-0.00043470700747693584,-0.0043037065234438334,flat,down,0.0
Alphabet Inc.,2022-04-27,115.02,2022-05-02,3,117.16,115.18906428416585,0.018605459920013917,0.0014698685808194735,up,flat,0.0
