,company,horizon,down,flat,up
27,Apple Inc.,2,0.20754716981132076,0.419811320754717,0.37264150943396224
28,Apple Inc.,2,0.15358361774744028,0.48464163822525597,0.36177474402730375
29,Apple Inc.,2,0.15315315315315314,0.40540540540540543,0.44144144144144143
30,"Meta Platforms, Inc.",2,0.2994011976047904,0.562874251497006,0.1377245508982036
31,"Meta Platforms, Inc.",2,0.2835820895522388,0.6156716417910447,0.10074626865671642
32,"Meta Platforms, Inc.",2,0.25443786982248523,0.591715976331361,0.15384615384615385
33,Microsoft Corporation,2,0.014563106796116505,0.529126213592233,0.4563106796116505
34,Microsoft Corporation,2,0.019417475728155338,0.56957928802589,0.4110032362459547
35,Microsoft Corporation,2,0.018867924528301886,0.49056603773584906,0.49056603773584906
36,NVIDIA Corporation,2,0.1722488038277512,0.4354066985645933,0.3923444976076555
37,NVIDIA Corporation,2,0.19727891156462585,0.3707482993197279,0.43197278911564624
38,NVIDIA Corporation,2,0.12,0.37777777777777777,0.5022222222222222
39,"Tesla, Inc.",2,0.5907172995780591,0.29957805907172996,0.10970464135021098
40,"Tesla, Inc.",2,0.47653429602888087,0.3971119133574007,0.1263537906137184
41,"Tesla, Inc.",2,0.43243243243243246,0.372972972972973,0.1945945945945946
42,Alphabet Inc.,3,0.013761467889908258,0.6055045871559633,0.38073394495412843
43,Alphabet Inc.,3,0.010169491525423728,0.6983050847457627,0.29152542372881357
44,Alphabet Inc.,3,0.004739336492890996,0.6113744075829384,0.38388625592417064
45,"Amazon.com, Inc.",3,0.29910714285714285,0.39732142857142855,0.30357142857142855
46,"Amazon.com, Inc.",3,0.24092409240924093,0.3927392739273927,0.36633663366336633
47,"Amazon.com, Inc.",3,0.245,0.405,0.35
48,Apple Inc.,3,0.6047619047619047,0.1619047619047619,0.23333333333333334
49,Apple Inc.,3,0.5964285714285714,0.2,0.20357142857142857
50,Apple Inc.,3,0.5569620253164557,0.1729957805907173,0.270042194092827
51,"Meta Platforms, Inc.",3,0.3136094674556213,0.5739644970414202,0.11242603550295859
52,"Meta Platforms, Inc.",3,0.3373493975903614,0.6024096385542169,0.060240963855421686
53,"Meta Platforms, Inc.",3,0.3118279569892473,0.5483870967741935,0.13978494623655913
54,Microsoft Corporation,3,0.061224489795918366,0.5510204081632653,0.3877551020408163
55,Microsoft Corporation,3,0.04590163934426229,0.6,0.3540983606557377
56,Microsoft Corporation,3,0.035398230088495575,0.5530973451327433,0.41150442477876104
57,NVIDIA Corporation,3,0.116751269035533,0.49238578680203043,0.39086294416243655
58,NVIDIA Corporation,3,0.10101010101010101,0.5824915824915825,0.3164983164983165
59,NVIDIA Corporation,3,0.13675213675213677,0.41025641025641024,0.452991452991453
60,"Tesla, Inc.",3,0.508695652173913,0.2956521739130435,0.1956521739130435
61,"Tesla, Inc.",3,0.39436619718309857,0.3591549295774648,0.24647887323943662
62,"Tesla, Inc.",3,0.3945945945945946,0.3837837837837838,0.22162162162162163
63,Alphabet Inc.,4,0.013043478260869565,0.6826086956521739,0.30434782608695654
64,Alphabet Inc.,4,0.0,0.7829181494661922,0.21708185053380782
65,Alphabet Inc.,4,0.0,0.7417840375586855,0.25821596244131456
66,"Amazon.com, Inc.",4,0.26066350710900477,0.3459715639810427,0.3933649289099526
67,"Amazon.com, Inc.",4,0.26537216828478966,0.32362459546925565,0.4110032362459547
68,"Amazon.com, Inc.",4,0.22705314009661837,0.4057971014492754,0.3671497584541063
69,Apple Inc.,4,0.23113207547169812,0.5141509433962265,0.25471698113207547
70,Apple Inc.,4,0.23591549295774647,0.5070422535211268,0.25704225352112675
71,Apple Inc.,4,0.30303030303030304,0.4199134199134199,0.27705627705627706
72,"Meta Platforms, Inc.",4,0.22699386503067484,0.6257668711656442,0.147239263803681
73,"Meta Platforms, Inc.",4,0.2608695652173913,0.6205533596837944,0.11857707509881422
