horizon,company,model,calibration,margin,score,acc_test,f1_macro_test,operable_share,operable_accuracy,operable_f1,dir_acc,dir_f1,dir_acc_operable,high_vol_dir_acc_operable,low_vol_dir_acc_operable,high_vol_dir_f1,low_vol_dir_f1,high_vol_coverage,low_vol_coverage
3,Apple Inc.,ensemble,platt,0.06,0.3533192025022185,0.5834482758620689,0.2750221441865807,0.0496551724137931,0.2222222222222222,0.12121212121212122,0.027303754266211604,0.046511627906976744,0.42105263157894735,0.0,0.4444444444444444,0.0,0.07920792079207921,0.005509641873278237,0.09392265193370165
3,Apple Inc.,ensemble,platt,0.08,0.3536141760633417,0.5903448275862069,0.2743802677445612,0.038620689655172416,0.25,0.13333333333333333,0.023890784982935155,0.041176470588235294,0.4117647058823529,0.0,0.4375,0.0,0.0707070707070707,0.005509641873278237,0.0718232044198895
3,Apple Inc.,ensemble,platt,0.1,0.3512847377444066,0.5917241379310345,0.27131529263687854,0.030344827586206897,0.2727272727272727,0.14285714285714285,0.020477815699658702,0.03614457831325301,0.46153846153846156,,0.46153846153846156,0.0,0.0625,0.0027548209366391185,0.058011049723756904
3,Apple Inc.,ensemble,platt,0.12,0.3473388126898721,0.5944827586206897,0.2648987558626113,0.01793103448275862,0.3076923076923077,0.1568627450980392,0.013651877133105802,0.024844720496894408,0.5,,0.5,0.0,0.04395604395604396,0.0,0.03591160220994475
3,Apple Inc.,ensemble,platt,0.14,0.34039721454322064,0.5944827586206897,0.253062001875293,0.006896551724137931,0.2,0.1111111111111111,0.0034129692832764505,0.00641025641025641,0.3333333333333333,,0.3333333333333333,0.0,0.011627906976744186,0.0,0.013812154696132596
3,Apple Inc.,ensemble,platt,0.16,0.34047742497679745,0.5958620689655172,0.25326252795923504,0.004137931034482759,0.3333333333333333,0.16666666666666666,0.0034129692832764505,0.0064516129032258064,0.5,,0.5,0.0,0.011764705882352941,0.0,0.008287292817679558
3,Apple Inc.,ensemble,platt,0.18,0.3374922642484986,0.5944827586206897,0.248558246828143,0.001379310344827586,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0027624309392265192
3,Apple Inc.,ensemble,platt,0.2,0.33791267546866155,0.5958620689655172,0.24891961970613655,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
3,Apple Inc.,tcn,isotonic,0.0,0.33969462053846206,0.5944827586206897,0.2526848272082241,0.004137931034482759,0.3333333333333333,0.25,0.0034129692832764505,0.006493506493506494,1.0,,1.0,0.0,0.011904761904761904,0.0027548209366391185,0.0055248618784530384
3,Apple Inc.,tcn,isotonic,0.02,0.33969462053846206,0.5944827586206897,0.2526848272082241,0.004137931034482759,0.3333333333333333,0.25,0.0034129692832764505,0.006493506493506494,1.0,,1.0,0.0,0.011904761904761904,0.0027548209366391185,0.0055248618784530384
3,Apple Inc.,tcn,isotonic,0.04,0.33969462053846206,0.5944827586206897,0.2526848272082241,0.004137931034482759,0.3333333333333333,0.25,0.0034129692832764505,0.006493506493506494,1.0,,1.0,0.0,0.011904761904761904,0.0027548209366391185,0.0055248618784530384
3,Apple Inc.,tcn,isotonic,0.06,0.33707160272677517,0.593103448275862,0.2481962481962482,0.002758620689655172,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0027548209366391185,0.0027624309392265192
