horizon,company,model,calibration,acc_test,f1_macro_test,operable_share,operable_accuracy,operable_f1,dir_acc,dir_f1,dir_acc_operable,high_vol_dir_acc_operable,low_vol_dir_acc_operable,high_vol_dir_f1,low_vol_dir_f1,high_vol_coverage,low_vol_coverage
2,"Amazon.com, Inc.",ensemble,isotonic,0.5958620689655172,0.27416422189253403,0.038620689655172416,0.21428571428571427,0.125,0.02142857142857143,0.04285714285714286,0.6666666666666666,0.75,0.6,0.043478260869565216,0.04225352112676056,0.05785123966942149,0.019337016574585635
2,"Amazon.com, Inc.",stacked,meta,0.6110344827586207,0.2528538812785388,0.002758620689655172,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.005509641873278237,0.0
2,Apple Inc.,tcn,raw,0.2579310344827586,0.22920679030928684,0.8524137931034482,0.19741100323624594,0.15952672378620972,0.4357142857142857,0.3901149226648233,0.5126050420168067,0.5663716814159292,0.464,0.35228301110654053,0.4005102040816326,0.8236914600550964,0.8812154696132597
2,Apple Inc.,ensemble,raw,0.5806896551724138,0.2643745253472418,0.06344827586206897,0.10869565217391304,0.06666666666666667,0.017857142857142856,0.031055900621118012,0.29411764705882354,0.0,0.3333333333333333,0.0,0.05952380952380952,0.01652892561983471,0.11049723756906077
2,Apple Inc.,tcn,temperature,0.33793103448275863,0.2696576896330521,0.6096551724137931,0.1832579185520362,0.14610358755048705,0.2892857142857143,0.3063034526449161,0.5031055900621118,0.5681818181818182,0.4246575342465753,0.3067484662576687,0.27437275985663084,0.6391184573002755,0.580110497237569
2,Apple Inc.,ensemble,temperature,0.5889655172413794,0.25929659781924047,0.04,0.10344827586206896,0.06451612903225806,0.010714285714285714,0.0196078431372549,0.375,0.0,0.42857142857142855,0.0,0.03896103896103896,0.011019283746556474,0.06906077348066299
2,Apple Inc.,tcn,platt,0.6137931034482759,0.25356125356125353,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
2,Apple Inc.,ensemble,platt,0.6137931034482759,0.25356125356125353,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
2,Apple Inc.,tcn,isotonic,0.576551724137931,0.2850229020827932,0.09379310344827586,0.17647058823529413,0.09999999999999999,0.04285714285714286,0.07317073170731707,0.41379310344827586,0.0,0.42857142857142855,0.0,0.12121212121212122,0.013774104683195593,0.17403314917127072
2,Apple Inc.,ensemble,isotonic,0.6137931034482759,0.25356125356125353,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
2,Apple Inc.,stacked,meta,0.6137931034482759,0.25356125356125353,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
2,"Meta Platforms, Inc.",tcn,raw,0.4833887043189369,0.35474909600576404,0.39700996677740863,0.20502092050209206,0.19591604757845169,0.23557692307692307,0.32519422863485015,0.5632183908045977,0.6666666666666666,0.5303030303030303,0.23440285204991085,0.3874762808349146,0.18272425249169436,0.6112956810631229
2,"Meta Platforms, Inc.",ensemble,raw,0.6411960132890365,0.2670129479072568,0.019933554817275746,0.08333333333333333,0.06060606060606061,0.004807692307692308,0.009900990099009901,0.3333333333333333,0.0,0.5,0.0,0.02127659574468085,0.023255813953488372,0.016611295681063124
2,"Meta Platforms, Inc.",tcn,temperature,0.574750830564784,0.3485194835710299,0.20431893687707642,0.21138211382113822,0.2011399154256297,0.125,0.20199878861296183,0.5306122448979592,0.7777777777777778,0.475,0.13301400147383935,0.2536950095635542,0.07973421926910298,0.3289036544850498
2,"Meta Platforms, Inc.",ensemble,temperature,0.6295681063122923,0.28586530189912013,0.04817275747508306,0.1724137931034483,0.17777777777777778,0.02403846153846154,0.04577944179714091,0.5555555555555556,0.5,0.5714285714285714,0.01818181818181818,0.06326530612244897,0.036544850498338874,0.059800664451827246
2,"Meta Platforms, Inc.",tcn,platt,0.654485049833887,0.2637215528781794,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
2,"Meta Platforms, Inc.",ensemble,platt,0.654485049833887,0.2637215528781794,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
2,"Meta Platforms, Inc.",tcn,isotonic,0.654485049833887,0.2637215528781794,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
2,"Meta Platforms, Inc.",ensemble,isotonic,0.654485049833887,0.2637215528781794,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
2,"Meta Platforms, Inc.",stacked,meta,0.6528239202657807,0.282025819265144,0.013289036544850499,0.375,0.1818181818181818,0.014423076923076924,0.029411764705882353,0.75,0.5,1.0,0.01818181818181818,0.0425531914893617,0.006644518272425249,0.019933554817275746
2,Microsoft Corporation,tcn,raw,0.24689655172413794,0.2386448397205905,0.9062068965517242,0.197869101978691,0.17937370568949515,0.4727272727272727,0.4488192622318259,0.5078125,0.5223880597014925,0.4918032786885246,0.42780546268845016,0.4535825545171339,0.8953168044077136,0.9171270718232044
2,Microsoft Corporation,ensemble,raw,0.4924137931034483,0.3117887130838471,0.29517241379310344,0.19158878504672897,0.14846472483397988,0.14909090909090908,0.2050954997383569,0.5125,0.4782608695652174,0.5263157894736842,0.1297640653357532,0.259573972762193,0.162534435261708,0.4281767955801105
2,Microsoft Corporation,tcn,temperature,0.33241379310344826,0.3046185067445231,0.7393103448275862,0.21082089552238806,0.1873879928315412,0.4109090909090909,0.4182217542840546,0.5280373831775701,0.5229357798165137,0.5333333333333333,0.3672606463304138,0.4513217279174726,0.7300275482093664,0.7486187845303868
2,Microsoft Corporation,ensemble,temperature,0.48137931034482756,0.3130290409104121,0.31448275862068964,0.19298245614035087,0.15449794699514743,0.16,0.2194980694980695,0.5301204819277109,0.5,0.5423728813559322,0.14240931482310792,0.2720714531088973,0.17079889807162535,0.4585635359116022
2,Microsoft Corporation,tcn,platt,0.6206896551724138,0.2553191489361702,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
2,Microsoft Corporation,ensemble,platt,0.6206896551724138,0.2553191489361702,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
2,Microsoft Corporation,tcn,isotonic,0.5793103448275863,0.30728804389829195,0.12689655172413794,0.22826086956521738,0.12389380530973453,0.07636363636363637,0.11931818181818182,0.5121951219512195,0.6,0.5,0.04054054054054054,0.17647058823529413,0.03305785123966942,0.22099447513812154
2,Microsoft Corporation,ensemble,isotonic,0.6206896551724138,0.2553191489361702,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
2,Microsoft Corporation,stacked,meta,0.6206896551724138,0.2553191489361702,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
2,NVIDIA Corporation,tcn,raw,0.19559228650137742,0.13402597402597402,0.9738292011019284,0.1867043847241867,0.12060495330897279,0.4664310954063604,0.3442144118119082,0.48175182481751827,0.5877192982456141,0.40625,0.425751155624037,0.28761061946902655,0.953168044077135,0.9944903581267218
2,NVIDIA Corporation,ensemble,raw,0.5055096418732782,0.35460450263346993,0.3154269972451791,0.22707423580786026,0.2025062656641604,0.18374558303886926,0.26190476190476186,0.5148514851485149,0.8,0.4835164835164835,0.1161688003793267,0.32021945671082563,0.09917355371900827,0.5316804407713499
2,NVIDIA Corporation,tcn,temperature,0.20385674931129477,0.14314574314574313,0.9655647382920111,0.18830242510699002,0.12137014314928425,0.4664310954063604,0.3442144118119082,0.48175182481751827,0.5877192982456141,0.40625,0.425751155624037,0.28761061946902655,0.9366391184573003,0.9944903581267218
