horizon,model,calibration,margin,score,acc_test,f1_macro_test,operable_share,operable_accuracy,operable_f1,dir_acc,dir_f1,dir_acc_operable,high_vol_dir_acc_operable,low_vol_dir_acc_operable,high_vol_dir_f1,low_vol_dir_f1,high_vol_coverage,low_vol_coverage,selection
3,tcn,platt,0.0,0.34993578291618127,0.5828333855090347,0.25904660700377174,0.06591892955529319,0.2626865671641791,0.13869188337273444,0.04068423485899214,0.040949278734295026,0.6285714285714286,0.85,0.5916666666666667,0.028239202657807307,0.04589528118939884,0.029122392758756395,0.10271546635183,best_joint
3,tcn,raw,0.04,0.36128472791496363,0.335264154043923,0.22590461847636206,0.6840860945342477,0.2003249253957791,0.12681540010660095,0.3452969945984769,0.29577072347679306,0.4986190008642403,0.5143577305605934,0.4890821396281186,0.2921298265013576,0.27642172241732005,0.6565066276462269,0.7116093238780244,best_joint
3,tcn,temperature,0.1,0.36273432453309423,0.35536284576300076,0.2316678709934558,0.6396101891525579,0.2056211925102067,0.12836583100200175,0.32410797942597114,0.27985847707717565,0.5012554462421644,0.5423487670953555,0.41894626339626967,0.2712303112305352,0.2627442679538764,0.6129263025975151,0.6662383150068684,best_joint
4,ensemble,isotonic,0.0,0.35400194834105125,0.5637368526451904,0.27862678274488567,0.08528247092510415,0.2646693468275306,0.16791177607344082,0.050893538575053285,0.07282170516644551,0.5353586049441033,0.26136363636363635,0.5858618563058896,0.014903639903639906,0.10147138327984954,0.022825659189295553,0.1478503916977046,best_joint
4,ensemble,platt,0.0,0.3358738550875616,0.5881638363198229,0.24945183588183967,0.004137931034482759,0.23809523809523808,0.12820512820512822,0.0022820629849383844,0.004035512510088781,0.45454545454545453,,0.45454545454545453,0.0,0.006934812760055478,0.0,0.008287292817679558,best_joint
4,ensemble,raw,0.02,0.391770505986666,0.4105315089850237,0.31199471558652964,0.513800080790223,0.2223745841035818,0.18730787314525918,0.28068341814118397,0.31686151118946226,0.5150486077650717,0.49828813047417697,0.506030126467712,0.2350663663933541,0.3548578067003954,0.3823655192540717,0.6453982573824011,best_joint
4,ensemble,temperature,0.04,0.39179599628410017,0.4452379767079711,0.3190331512878047,0.43043772542894937,0.2278046021231208,0.1876250042470607,0.24112790986129082,0.2858825494890373,0.5216574396870306,0.5267763846842215,0.5004619889635482,0.22337978651339263,0.31089199880463436,0.3181322019255043,0.5428900093091069,best_joint
4,stacked,meta,0.0,0.35633392909962947,0.5483430342797464,0.27835375782315086,0.1282760612923526,0.21512072350153755,0.13748438569401103,0.08149672566241703,0.09743839417033842,0.520522350278448,0.6269240019240019,0.5276108623429149,0.0899214921338606,0.10047753697882178,0.09680850984519662,0.1597474009349042,best_joint
4,tcn,isotonic,0.0,0.35597565002558745,0.5266837400630933,0.2778901614354442,0.17073044713086213,0.2031563142803993,0.1219530856778757,0.08203801434199519,0.10698464261632833,0.4744960663923403,0.5741414141414142,0.5224098394830102,0.08835377086687513,0.11703091560722453,0.1130433428400005,0.22846967869077042,best_joint
4,tcn,platt,0.16,0.3452797459036761,0.573210451147002,0.25850524576488393,0.06296733569460843,0.30625,0.15629984051036683,0.04516129032258064,0.04347826086956522,0.6950354609929078,0.9375,0.664,0.02613240418118467,0.0494047619047619,0.023219205037386857,0.10271546635183,best_joint
4,tcn,raw,0.0,0.34998475912628024,0.2763305494120049,0.18798247127288814,0.8212977542616151,0.2041315284185973,0.12983987789000614,0.4022258992153422,0.3168497003137411,0.4859482986797589,0.5011796842398151,0.4720353730965477,0.3003114324442766,0.321962486267867,0.7378491039802993,0.9048427494249491,best_joint
4,tcn,temperature,0.12,0.351346112931416,0.2967980200630574,0.19587415173539727,0.7713862210601704,0.20720092486012714,0.12889861971907465,0.38141234955277853,0.3014626856077133,0.4946717943763122,0.5454057562055059,0.4756725134094775,0.28381497653402327,0.3085592905820396,0.6937684558709414,0.8491002846466726,best_joint
5,ensemble,isotonic,0.0,0.34844006202995054,0.5617473825966536,0.27456061382622676,0.06958431730399194,0.3172626382259229,0.1889907064518769,0.041424833199026026,0.06314735435186009,0.5388467918693328,0.39999999999999997,0.5515834575260805,0.013963480128893662,0.08977256310761837,0.01090049957721235,0.1284198052449346,best_joint
5,ensemble,platt,0.0,0.33431803289981976,0.5781923595842003,0.2503120822712604,0.014581280788177341,0.20270270270270271,0.11235955056179775,0.006738544474393531,0.010302197802197802,0.39473684210526316,,0.39473684210526316,0.0,0.015991471215351813,0.0,0.02920284135753749,best_joint
5,ensemble,raw,0.06,0.3852925087899791,0.4033466509717986,0.30010421478700894,0.5195608124322801,0.22289960390650254,0.18422031442452805,0.2778142888057001,0.3031530995218743,0.5188871853018521,0.5709942237072222,0.4959890830594428,0.24061052039917558,0.33324136242114133,0.38769908501072486,0.6516277466825293,best_joint
5,ensemble,temperature,0.02,0.38586385699963177,0.3998209075699942,0.30054509586470207,0.528587278128766,0.21840221487295366,0.17901650864126842,0.27946914975968656,0.3048326656435641,0.5058839870010573,0.5716245392215583,0.48048776698349466,0.24212062051716968,0.3325720029872207,0.38968512233100855,0.6676919071523175,best_joint
5,stacked,meta,0.0,0.34745462060307686,0.5539158911882606,0.2762902914178794,0.07686073780310419,0.24864704530153717,0.19502648658968494,0.04361600906449216,0.07182500436352587,0.6669158804721114,0.6484920634920635,0.7980952380952381,0.07027081718757731,0.07223212666524292,0.07550678108054364,0.0782451223637789,best_joint
5,tcn,isotonic,0.0,0.34837891285906114,0.5645986748265522,0.26968966035854613,0.07331789392510905,0.3154916512059369,0.2621161374373004,0.04861625653272662,0.05955546126598914,0.47950274126744713,0.330188679245283,0.4793151395173454,0.04065040650406504,0.07065750786774481,0.053968780199569466,0.09271246156716108,best_joint
5,tcn,platt,0.0,0.3326106679048965,0.5796443608866088,0.24830640318720848,0.007151811376847959,0.16666666666666666,0.08333333333333333,0.003355704697986577,0.005847953216374269,0.3888888888888889,0.35714285714285715,0.5,0.009276437847866418,0.00303951367781155,0.011639466208286474,0.002655352437687184,best_joint
5,tcn,raw,0.12,0.35303011516095584,0.28810937614349824,0.20597413879719856,0.7769835459233855,0.1999296877831676,0.13336707810267132,0.3788460886251486,0.31408357419868665,0.48337419410784843,0.5090643575123798,0.4712825529465094,0.29567735664154765,0.29817972995136205,0.7489856318732783,0.8049582161015506,best_joint
5,tcn,temperature,0.16,0.35267605949771186,0.312899108205114,0.211777896763206,0.7140262875519191,0.19726243814087363,0.12901252113626763,0.35004270243646396,0.29040980614443657,0.4788105646951437,0.5343941830447317,0.44796185615151135,0.28642718276465595,0.25347914245546593,0.693615059152247,0.7344054414776318,best_joint
1,ensemble,isotonic,0.0,0.4067259921296416,0.6558182942143015,0.3180902650256036,0.08581284216839778,0.34533707162383637,0.23469425604457342,0.07008110786522863,0.10487267317788387,0.7081833233794018,0.7461111111111112,0.6887643946467475,0.08481720734833571,0.10926500440759009,0.0531334919678651,0.11851639940147336,best_f1
1,ensemble,platt,0.0,0.38170767859450055,0.6836311890557123,0.27063800743053906,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,best_f1
1,ensemble,raw,0.06,0.42421246664034706,0.5075007036492959,0.35209188427779603,0.4018771573475513,0.22621347162867142,0.21268319141981312,0.265487252288488,0.34053611534306344,0.6394384701904976,0.6744623449552843,0.6169243290757856,0.2928457826664107,0.36632688194250285,0.32552942778649374,0.47832583448346805,best_f1
1,ensemble,temperature,0.08,0.4280226059473809,0.5227309049480368,0.3629644858144983,0.3687222482118343,0.22841325877477597,0.21474106625320036,0.24761412752599074,0.3302741616357969,0.6400218014938527,0.6583037697682776,0.6256630586940961,0.2749876953480999,0.362365711609942,0.28728889744138425,0.45026912232802235,best_f1
1,stacked,meta,0.02,0.3862378063240254,0.6753194096725824,0.2808579602073533,0.018834291860255474,0.25595238095238093,0.1658862433862434,0.01060340089465955,0.020079298776040626,0.5700000000000001,0.45098039215686275,0.775,0.015955975886289473,0.02363050483351235,0.028184943014299708,0.009469017505180238,best_f1
1,tcn,isotonic,0.0,0.3865008391103207,0.6703084389452431,0.2811915924946065,0.029504132671904208,0.1603174603174603,0.10316627816627816,0.017189543847930755,0.027126862333183666,0.47348484848484845,0.44166666666666665,0.5972222222222222,0.015754822153509603,0.035592978450121306,0.022329116111325105,0.03670086819258089,best_f1
1,tcn,platt,0.08,0.3813976091159956,0.6820548343759094,0.270355444571715,0.002167487684729064,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.004329004329004329,0.0,best_f1
1,tcn,raw,0.2,0.36733266738350984,0.31773208891348803,0.22910213177535238,0.7429948955398683,0.17509661569505855,0.12287703547448905,0.40423455025248867,0.3402160601570002,0.5272814940975341,0.5104285400275553,0.5312000271314686,0.31263280779972613,0.3502571420232637,0.6657882953392508,0.8202967714733721,best_f1
1,tcn,temperature,0.2,0.3780226278831079,0.38884248956753825,0.2532412925270505,0.6059455752263619,0.17917931358831377,0.11912743998282795,0.3281518432915706,0.2891987240451269,0.5286249986854207,0.4902624042258211,0.5415997302542239,0.2554476253951488,0.3008431953933551,0.516931645152604,0.6950953750940939,best_f1
