horizon,model,calibration,margin,score,acc_test,f1_macro_test,operable_share,operable_accuracy,operable_f1,dir_acc,dir_f1,dir_acc_operable,high_vol_dir_acc_operable,low_vol_dir_acc_operable,high_vol_dir_f1,low_vol_dir_f1,high_vol_coverage,low_vol_coverage
1,stacked,meta,0.08,0.3837692588400454,0.6763046313474593,0.2760076395637831,0.014221752377742338,0.171875,0.13151927437641725,0.006063705435417885,0.011580820807415109,0.49122807017543857,0.17857142857142858,0.9,0.010720058053237459,0.012219227313566935,0.023300267637325928,0.005128054600681421
1,stacked,meta,0.1,0.3837097978026671,0.6765016756824347,0.2760560313053127,0.01343357503784086,0.17613636363636365,0.14078674948240166,0.006063705435417885,0.011760918059931468,0.5208333333333334,0.22727272727272727,0.9,0.010962325678207175,0.012219227313566935,0.02211963009305202,0.004733421609363347
1,stacked,meta,0.12,0.3826240432049456,0.6765016756824347,0.27393277781593495,0.012251309027988643,0.04487179487179487,0.03992248062015504,0.00423728813559322,0.00834617360041089,0.25,0.16666666666666666,0.8,0.0069965017491254375,0.009523809523809523,0.020151900852595505,0.004338788618045273
1,stacked,meta,0.14,0.3826820845591728,0.67669872001741,0.27397935903401516,0.012054264693013276,0.05982905982905983,0.05322997416020672,0.00423728813559322,0.00834617360041089,0.25,0.16666666666666666,0.8,0.0069965017491254375,0.009523809523809523,0.020151900852595505,0.003944155626727198
1,stacked,meta,0.16,0.3826820845591728,0.67669872001741,0.27397935903401516,0.012054264693013276,0.05982905982905983,0.05322997416020672,0.00423728813559322,0.00834617360041089,0.25,0.16666666666666666,0.8,0.0069965017491254375,0.009523809523809523,0.020151900852595505,0.003944155626727198
1,stacked,meta,0.18,0.38196567574322565,0.6765016756824347,0.2726809478315858,0.011463131688087167,0.0462962962962963,0.0456140350877193,0.003026634382566586,0.0060083594566353185,0.20833333333333334,0.125,0.75,0.004576659038901602,0.007263922518159807,0.0193648091564129,0.0035495226354091245
1,stacked,meta,0.2,0.3820995781108862,0.6768957643523853,0.27281865941576183,0.011069043018136427,0.049019607843137254,0.04691358024691358,0.003026634382566586,0.0060083594566353185,0.20833333333333334,0.125,0.75,0.004576659038901602,0.007263922518159807,0.0189712633083216,0.00315488964409105
1,tcn,isotonic,0.0,0.3865008391103207,0.6703084389452431,0.2811915924946065,0.029504132671904208,0.1603174603174603,0.10316627816627816,0.017189543847930755,0.027126862333183666,0.47348484848484845,0.44166666666666665,0.5972222222222222,0.015754822153509603,0.035592978450121306,0.022329116111325105,0.03670086819258089
1,tcn,isotonic,0.02,0.38635906699193007,0.6711368761741844,0.28071851008662246,0.028084562438036805,0.1561302681992337,0.10173160173160173,0.01658421697141744,0.02607691725338784,0.45959595959595956,0.44166666666666665,0.7638888888888888,0.015754822153509603,0.03339517625231911,0.02146096181520343,0.034727703235990524
1,tcn,isotonic,0.04,0.38635906699193007,0.6711368761741844,0.28071851008662246,0.028084562438036805,0.1561302681992337,0.10173160173160173,0.01658421697141744,0.02607691725338784,0.45959595959595956,0.44166666666666665,0.7638888888888888,0.015754822153509603,0.03339517625231911,0.02146096181520343,0.034727703235990524
1,tcn,isotonic,0.06,0.38600565608588255,0.6727132308539874,0.27963793848652824,0.025325941748381632,0.1388888888888889,0.07196969696969696,0.015373563218390804,0.02369596487243546,0.34848484848484845,0.375,0.5277777777777778,0.0136844287787684,0.030844155844155844,0.017919049182381706,0.032754538279400155
1,tcn,isotonic,0.08,0.3860187010072159,0.672918190886781,0.27967055078986164,0.02491602168279442,0.3055555555555556,0.2803030303030303,0.015373563218390804,0.023707664884135473,0.5151515151515151,0.5416666666666666,0.5277777777777778,0.013736263736263738,0.030844155844155844,0.017100383607269138,0.032754538279400155
